Pair Address,Token 0,Token 1,Fee,Tick Spacing
0xaF3004cF5f8801DdCeFBd78998f03Fd78b54FDa9,0xBe8035e9CA6e3Bfb88d78C45C4a9E9be7332B899,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,3000,60
0xa889dd2263e06C319Fd65f0b339Eac17A5f614E0,0x2804bA0355466a4C26626660a67F0c1E318bBF2F,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,3000,60
0xe9642184E89e15d91239CB8b246dc271d3d3FBb9,0x9E0CCD3753FF90b475B5930De2Ce55DceCAee19D,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,10000,200
0x7479597CE334797527a0EaCf4CC051FC2fC1DF9A,0xb11e3db28533E7c737363a96AdD49Da84B158B7C,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,10000,200
